Player_ID,Team,Name,URL_ID,Captain,Wicket Keeper,Overseas,Role,Player URL,Nationality,DOB,Debut,Batting Style,Bowling Style
1,DCW,Jemimah Rodrigues,68442,N,N,N,Batter,https://www.wplt20.com/players/jemimah-rodrigues-wpl-profile-68442,India,05-09-2000,2023,Right Handed,Off Break
2,DCW,Meg Lanning,57908,Y,N,Y,Batter,https://www.wplt20.com/players/meg-lanning-wpl-profile-57908,Australia,25-03-1992,2023,Right Handed,Right-Arm Medium
3,DCW,Shafali Verma,70772,N,N,N,Batter,https://www.wplt20.com/players/shafali-verma-wpl-profile-70772,India,28-01-2004,2023,Right Handed,Off Break
4,DCW,Sneha Deepthi,63983,N,N,N,Batter,https://www.wplt20.com/players/sneha-deepthi-wpl-profile-63983,India,10-09-1996,-,Right Handed,Off Break
5,DCW,Alice Capsey,80602,N,N,Y,All-Rounder,https://www.wplt20.com/players/alice-capsey-wpl-profile-80602,England,11-08-2004,2023,Right Handed,Off Break
6,DCW,Annabel Sutherland,67045,N,N,Y,All-Rounder,https://www.wplt20.com/players/annabel-sutherland-wpl-profile-67045,Australia,12-10-2001,2023,Right Handed,Right-Arm Medium Fast
7,DCW,Arundhati Reddy,70064,N,N,N,All-Rounder,https://www.wplt20.com/players/arundhati-reddy-wpl-profile-70064,India,10-04-1997,2023,Right Handed,Right-Arm Medium Fast
8,DCW,Jess Jonassen,57717,N,N,Y,All-Rounder,https://www.wplt20.com/players/jess-jonassen-wpl-profile-57717,Australia,05-11-1992,2023,Left Handed,Slow Left-Arm Orthodox
9,DCW,Marizanne Kapp,7759,N,N,Y,All-Rounder,https://www.wplt20.com/players/marizanne-kapp-wpl-profile-7759,South Africa,04-01-1990,2023,Right Handed,Right-Arm Medium
10,DCW,Minnu Mani,70723,N,N,N,All-Rounder,https://www.wplt20.com/players/minnu-mani-wpl-profile-70723,India,24-03-1999,2023,Left Handed,Off Break
11,DCW,Niki Prasad,99166,N,N,N,All-Rounder,https://www.wplt20.com/players/niki-prasad-wpl-profile-99166,India,25-10-2005,2025,Right Handed,Off Break
12,DCW,Radha Yadav,68441,N,N,N,All-Rounder,https://www.wplt20.com/players/radha-yadav-wpl-profile-68441,India,21-04-2000,2023,Right Handed,Slow Left-Arm Orthodox
13,DCW,Shikha Pandey,64755,N,N,N,All-Rounder,https://www.wplt20.com/players/shikha-pandey-wpl-profile-64755,India,12-05-1989,2023,Right Handed,Right-Arm Medium
14,DCW,N. Charani,89194,N,N,N,All-Rounder,https://www.wplt20.com/players/n-charani-wpl-profile-89194,India,04-08-2004,2025,Left Handed,Slow Left-Arm Orthodox
15,DCW,Nandini Kashyap,89195,N,Y,N,Wicket-Keeper,https://www.wplt20.com/players/nandini-kashyap-wpl-profile-89195,India,13-09-2003,-,Right Handed,-
16,DCW,Sarah Bryce,69568,N,Y,Y,Wicket-Keeper,https://www.wplt20.com/players/sarah-bryce-wpl-profile-69568,Scotland,08-01-2000,2025,Right Handed,-
17,DCW,Taniyaa Bhatia,68443,N,Y,N,Wicket-Keeper,https://www.wplt20.com/players/taniyaa-bhatia-wpl-profile-68443,India,28-11-1997,2023,Right Handed,-
18,DCW,Titas Sadhu,83663,N,N,N,Bowler,https://www.wplt20.com/players/titas-sadhu-wpl-profile-83663,India,29-09-2004,2024,Right Handed,Right-Arm Medium Fast
1,GG,Bharti Fulmali,70708,N,N,N,Batter,https://www.wplt20.com/players/bharti-fulmali-wpl-profile-70708,India,11-10-1994,2024,Right Handed,Right-Arm Medium Fast
2,GG,Laura Wolvaardt,66176,N,N,Y,Batter,https://www.wplt20.com/players/laura-wolvaardt-wpl-profile-66176,South Africa,26-04-1999,2023,Right Handed,-
3,GG,Phoebe Litchfield,71357,N,N,Y,Batter,https://www.wplt20.com/players/phoebe-litchfield-wpl-profile-71357,Australia,18-04-2003,2024,Left Handed,Leg Break
